means	Presynaptic Neuron	Postsynaptic Neuron	g	tau_d	tau_r	tau_f	U
1949	CA1 Pyramidal (+)2223p	CA1 Recurrent O-LM (-)1003	1.257445731	3.639815432	374.987746	178.3050615	0.168314728
1950	CA1 Radiatum Giant (+)2201	CA1 Recurrent O-LM (-)1003	0.964554435	4.890013839	466.1521607	57.59719412	0.137491151
1951	CA3 Trilaminar (-)01113p	CA1 Recurrent O-LM (-)1003	1.452829283	6.062666518	597.3180542	37.51345554	0.203177875
1952	CA2 Bistratified (-)0313p	CA1 Recurrent O-LM (-)1003	2.102309669	5.307645067	603.4235809	29.00644292	0.227018378
1953	CA1 Quadrilaminar (-)3333	CA1 Recurrent O-LM (-)1003	1.571889923	5.883484429	559.4228615	35.16293947	0.211167556
1954	CA1 Radial Trilaminar (-)2333	CA1 Recurrent O-LM (-)1003	1.365784046	6.032308208	640.2609654	42.87175743	0.198500249
1955	CA1 Schaffer Collateral-Associated (-)2311	CA1 Recurrent O-LM (-)1003	1.229056392	6.003759812	656.6549131	44.09369891	0.168872489
1956	CA1 Back-Projection (-)1133p	CA1 Recurrent O-LM (-)1003	1.583298384	6.169856508	628.1906813	39.17411578	0.210836847
1957	CA1 Trilaminar (-)0113p	CA1 Recurrent O-LM (-)1003	1.445006972	6.29935239	649.2882575	31.94168564	0.209193721
1958	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Recurrent O-LM (-)1003	1.505862073	6.005380169	619.3707775	37.73240955	0.21361041
1959	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Recurrent O-LM (-)1003	1.488025463	6.013142677	614.583627	35.96514913	0.214281879
1960	CA1 Bistratified (-)0333	CA1 Recurrent O-LM (-)1003	1.376583635	8.33058208	731.9749349	23.84277215	0.237833501
1961	CA1 Ivy (-)0333	CA1 Recurrent O-LM (-)1003	1.389893247	7.299459819	690.5434022	28.3011639	0.225755308
1962	CA1 Oriens-Bistratified (-)0103	CA1 Recurrent O-LM (-)1003	1.467554734	6.195160256	614.641735	36.41905275	0.21631114
1963	CA1 SO-SO (-)0003	CA1 Recurrent O-LM (-)1003	1.557778726	6.092245008	600.6761443	37.56779045	0.212440033
1964	CA1 Oriens/Alveus (-)2233	CA1 Recurrent O-LM (-)1003	1.529593787	5.54003357	620.2982622	30.12798865	0.211341112
1965	CA1 Recurrent O-LM (-)1003	CA1 Recurrent O-LM (-)1003	1.564661011	5.928577541	617.9126119	35.09684166	0.21273647
1966	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Recurrent O-LM (-)1003	1.267132129	6.006480129	633.8519565	35.15474632	0.189952864
1967	CA1 Interneuron Specific LMO-O (-)2003	CA1 Recurrent O-LM (-)1003	1.477335194	6.006239901	597.0023246	39.16636986	0.218782773
1968	CA1 Interneuron Specific R-O (-)0221	CA1 Recurrent O-LM (-)1003	1.43372541	6.002297384	591.7794616	38.52094433	0.219996836
1969	CA1 Interneuron Specific RO-O (-)0203	CA1 Recurrent O-LM (-)1003	1.48364527	5.981099888	594.1461218	38.22964786	0.219884103
1970	CA3 Pyramidal (+)23223p	CA1 Oriens-Bistratified (-)0103	1.175501185	5.702837317	422.980315	26.30821048	0.193365024
1971	CA3c Pyramidal (+)03223p	CA1 Oriens-Bistratified (-)0103	1.898485663	4.626723182	358.7131492	28.43219515	0.219686157
1972	CA2 Pyramidal (+)2333p	CA1 Oriens-Bistratified (-)0103	1.970530302	3.798883703	307.5412028	61.79039584	0.238808556
1973	CA1 Pyramidal (+)2223p	CA1 Oriens-Bistratified (-)0103	1.700727857	3.891405241	328.6750383	69.2537247	0.181818025
1974	CA1 Radiatum Giant (+)2201	CA1 Oriens-Bistratified (-)0103	1.481523551	4.624993149	441.4967503	35.46732724	0.172664221
1975	CA3 Trilaminar (-)01113p	CA1 Oriens-Bistratified (-)0103	1.85892045	6.083439223	573.5361954	19.89360305	0.215354565
1976	CA2 Bistratified (-)0313p	CA1 Oriens-Bistratified (-)0103	2.662079863	5.350798652	588.5623419	15.35616225	0.239969504
1977	CA1 Quadrilaminar (-)3333	CA1 Oriens-Bistratified (-)0103	1.973081779	5.91917249	526.7141759	20.15999067	0.228048481
1978	CA1 Radial Trilaminar (-)2333	CA1 Oriens-Bistratified (-)0103	1.701982435	6.164587846	616.1565788	22.43856712	0.21052954
1979	CA1 Schaffer Collateral-Associated (-)2311	CA1 Oriens-Bistratified (-)0103	1.48516127	6.152219823	630.5283381	23.42566369	0.172661405
1980	CA1 Back-Projection (-)1133p	CA1 Oriens-Bistratified (-)0103	1.96264712	6.268728493	597.1613085	20.54125748	0.219918307
1981	CA1 Trilaminar (-)0113p	CA1 Oriens-Bistratified (-)0103	1.793416204	6.328523512	619.2006301	16.968489	0.2206278
1982	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Oriens-Bistratified (-)0103	1.861487596	6.098532269	593.8731324	19.69031518	0.224169597
1983	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Oriens-Bistratified (-)0103	1.819864477	6.137443505	586.8722446	18.91773086	0.223086934
1984	CA1 Bistratified (-)0333	CA1 Oriens-Bistratified (-)0103	1.649933179	8.522184033	708.707165	13.75640756	0.252759966
1985	CA1 Ivy (-)0333	CA1 Oriens-Bistratified (-)0103	1.691389048	7.451942917	662.111622	15.7792929	0.238210254
1986	CA1 Oriens-Bistratified (-)0103	CA1 Oriens-Bistratified (-)0103	1.845086811	6.277719563	587.2696247	19.4011548	0.232988902
1987	CA1 Oriens/Alveus (-)2233	CA1 Oriens-Bistratified (-)0103	1.926624229	5.612270658	584.5260815	16.13441311	0.22327461
1988	CA1 Recurrent O-LM (-)1003	CA1 Oriens-Bistratified (-)0103	1.933213882	6.071054772	592.5826051	17.94488921	0.224235042
1989	CA1 SO-SO (-)0003	CA1 Oriens-Bistratified (-)0103	1.937681945	6.224619712	576.951686	19.7981822	0.223804845
1990	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Oriens-Bistratified (-)0103	1.575753972	6.082166472	608.4149064	20.35749139	0.195636705
1991	CA1 Interneuron Specific LMO-O (-)2003	CA1 Oriens-Bistratified (-)0103	1.885795487	6.01043574	570.1688625	20.85058976	0.23354401
1992	CA1 Interneuron Specific R-O (-)0221	CA1 Oriens-Bistratified (-)0103	1.817713383	6.049908022	564.771857	20.39772239	0.235268541
1993	CA1 Interneuron Specific RO-O (-)0203	CA1 Oriens-Bistratified (-)0103	1.878058719	6.017636486	566.5845218	20.55980604	0.234324224
1994	CA3 Pyramidal (+)23223p	CA1 Oriens-Bistratified Projecting (-)1113p	1.197134169	5.722450513	359.1912775	31.59027803	0.183046375
1995	CA3c Pyramidal (+)03223p	CA1 Oriens-Bistratified Projecting (-)1113p	1.947619741	4.595665567	304.0982734	34.05277654	0.211551304
1996	CA2 Pyramidal (+)2333p	CA1 Oriens-Bistratified Projecting (-)1113p	2.098471955	3.671154714	259.7390819	71.5753931	0.232458273
1997	CA1 Pyramidal (+)2223p	CA1 Oriens-Bistratified Projecting (-)1113p	1.834096711	3.710461147	260.3979878	84.74205057	0.167679101
1998	CA1 Radiatum Giant (+)2201	CA1 Oriens-Bistratified Projecting (-)1113p	1.563797567	4.494007316	371.1821775	43.68767305	0.160865885
1999	CA3 Trilaminar (-)01113p	CA1 Oriens-Bistratified Projecting (-)1113p	1.80813606	6.301178163	539.6203566	21.59984172	0.208584696
2000	CA2 Bistratified (-)0313p	CA1 Oriens-Bistratified Projecting (-)1113p	2.635067142	5.504491123	560.9813662	16.64836959	0.232658029
2001	CA1 Quadrilaminar (-)3333	CA1 Oriens-Bistratified Projecting (-)1113p	1.953642367	6.069515223	491.3479987	21.23090493	0.22069891
2002	CA1 Radial Trilaminar (-)2333	CA1 Oriens-Bistratified Projecting (-)1113p	1.650926873	6.332762744	582.2083552	23.83449262	0.203845757
2003	CA1 Schaffer Collateral-Associated (-)2311	CA1 Oriens-Bistratified Projecting (-)1113p	1.480016063	6.325315495	596.6506497	24.80166431	0.169518018
2004	CA1 Back-Projection (-)1133p	CA1 Oriens-Bistratified Projecting (-)1113p	1.965035618	6.469712626	563.7775519	22.17078172	0.214578987
2005	CA1 Trilaminar (-)0113p	CA1 Oriens-Bistratified Projecting (-)1113p	1.760626167	6.594934655	593.1315288	18.30527765	0.214846948
2006	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Oriens-Bistratified Projecting (-)1113p	1.83505262	6.284322461	562.2816038	21.19550728	0.219213284
2007	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Oriens-Bistratified Projecting (-)1113p	1.818186931	6.328230275	555.9521769	20.44636187	0.21840087
2008	CA1 Bistratified (-)0333	CA1 Oriens-Bistratified Projecting (-)1113p	1.60296806	8.892637705	679.9326176	14.44244885	0.247677638
2009	CA1 Ivy (-)0333	CA1 Oriens-Bistratified Projecting (-)1113p	1.670924194	7.714494571	628.0233976	16.87030465	0.234018887
2010	CA1 Oriens-Bistratified (-)0103	CA1 Oriens-Bistratified Projecting (-)1113p	1.802900878	6.451123544	556.9779302	20.78546946	0.224566845
2011	CA1 Oriens/Alveus (-)2233	CA1 Oriens-Bistratified Projecting (-)1113p	1.906127335	5.738359586	549.6054427	17.15038548	0.217710588
2012	CA1 SO-SO (-)0003	CA1 Oriens-Bistratified Projecting (-)1113p	1.932395948	6.355686192	546.6780432	21.391365	0.218662434
2013	CA1 Recurrent O-LM (-)1003	CA1 Oriens-Bistratified Projecting (-)1113p	1.938009289	6.210464968	560.2713129	19.62978761	0.218106186
2014	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Oriens-Bistratified Projecting (-)1113p	1.544726963	6.262673801	570.8473137	21.34511823	0.191471726
2015	CA1 Interneuron Specific LMO-O (-)2003	CA1 Oriens-Bistratified Projecting (-)1113p	1.853609311	6.206068025	541.8535639	22.28080976	0.2283928
2016	CA1 Interneuron Specific R-O (-)0221	CA1 Oriens-Bistratified Projecting (-)1113p	1.791461592	6.212431953	535.2152832	21.60027104	0.228903849
2017	CA1 Interneuron Specific RO-O (-)0203	CA1 Oriens-Bistratified Projecting (-)1113p	1.844578077	6.189817846	538.0516618	21.7462128	0.227899911
2018	CA1 Pyramidal (+)2223p	CA1 Perforant Path-Associated QuadD (-)3222	1.502635066	4.067924758	288.9991896	78.30345	0.16551668
2019	CA1 Radiatum Giant (+)2201	CA1 Perforant Path-Associated QuadD (-)3222	1.261837331	4.991902675	412.0407293	42.67566576	0.152849512
2020	CA3 Pyramidal (+)23223p	CA1 Perforant Path-Associated QuadD (-)3222	0.989066754	6.273376555	392.0157022	31.78681763	0.178919856
2021	CA3c Pyramidal (+)03223p	CA1 Perforant Path-Associated QuadD (-)3222	1.645446433	5.026904416	329.7472289	34.37537691	0.206690497
2022	CA2 Pyramidal (+)2333p	CA1 Perforant Path-Associated QuadD (-)3222	1.780308301	3.985567193	282.5381435	70.06079392	0.228752679
2023	SUB CA1-Projecting Pyramidal (+)331p	CA1 Perforant Path-Associated QuadD (-)3222	2.369214412	3.854042884	360.2175228	40.29775748	0.233795089
2024	CA1 Cajal-Retzius (+)3000	CA1 Perforant Path-Associated QuadD (-)3222	1.564720416	4.648274948	407.2325896	41.57300673	0.220937101
2025	EC LIII Pyramidal (+)223111p	CA1 Perforant Path-Associated QuadD (-)3222	1.575532951	4.389913924	342.4281544	44.87182725	0.215066533
2026	EC LIII Pyramidal-Stellate (+)223200p	CA1 Perforant Path-Associated QuadD (-)3222	1.552272793	4.522754108	357.0533525	40.36387837	0.224991336
2027	CA3 Trilaminar (-)01113p	CA1 Perforant Path-Associated QuadD (-)3222	1.545472928	6.795896502	561.1690941	23.43994438	0.200140741
2028	CA2 Bistratified (-)0313p	CA1 Perforant Path-Associated QuadD (-)3222	2.272667194	5.919765161	577.4732141	17.89926776	0.225818918
2029	CA1 Quadrilaminar (-)3333	CA1 Perforant Path-Associated QuadD (-)3222	1.687806905	6.526124871	510.1784872	23.30096726	0.21391265
2030	CA1 LMR Projecting (-)3300p	CA1 Perforant Path-Associated QuadD (-)3222	1.655425894	6.732114677	568.6367595	24.65669418	0.197329284
2031	CA1 LMR (-)3300	CA1 Perforant Path-Associated QuadD (-)3222	1.748829774	6.765642895	558.8867738	20.03406844	0.211291346
2032	CA1 Perforant Path-Associated (-)3200p	CA1 Perforant Path-Associated QuadD (-)3222	1.788452931	6.373799454	558.8534814	29.27249787	0.202055172
2033	CA1 Neurogliaform Projecting (-)3000p	CA1 Perforant Path-Associated QuadD (-)3222	1.409831732	8.14769311	540.6036083	32.03996436	0.206246603
2034	CA1 Neurogliaform (-)3000	CA1 Perforant Path-Associated QuadD (-)3222	1.461187355	7.801839907	535.1225393	24.26023758	0.203780687
2035	CA1 Radial Trilaminar (-)2333	CA1 Perforant Path-Associated QuadD (-)3222	1.444606122	6.718556325	605.6327159	26.14984726	0.194991879
2036	CA1 Schaffer Collateral-Associated (-)2311	CA1 Perforant Path-Associated QuadD (-)3222	1.285706622	6.785888781	618.1734473	27.13325424	0.162012898
2037	CA1 Back-Projection (-)1133p	CA1 Perforant Path-Associated QuadD (-)3222	1.7039498	6.942009461	582.8652317	23.9467655	0.207713191
2038	CA1 Radiatum (-)0300	CA1 Perforant Path-Associated QuadD (-)3222	0.89488042	8.635552686	697.330614	19.28856136	0.212693492
2039	CA1 SO-SO (-)0003	CA1 Perforant Path-Associated QuadD (-)3222	1.655895644	6.90418127	565.5956627	22.69851249	0.211548275
2040	CA1 Trilaminar (-)0113p	CA1 Perforant Path-Associated QuadD (-)3222	1.538605005	7.068337759	610.2740379	19.77011273	0.206559005
2041	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Perforant Path-Associated QuadD (-)3222	1.59308121	6.754232933	581.2159668	22.97893129	0.211511593
2042	CA1 Oriens/Alveus (-)2233	CA1 Perforant Path-Associated QuadD (-)3222	1.645344752	6.178788255	571.1277633	18.3158242	0.210573234
2043	CA1 R-Receiving Apical-Targeting (-)1300	CA1 Perforant Path-Associated QuadD (-)3222	1.59473649	6.735428912	570.1652091	24.6993525	0.201776963
2044	CA1 OR-LM (-)1202	CA1 Perforant Path-Associated QuadD (-)3222	1.686648635	6.547992447	549.6069842	24.51131366	0.209747522
2045	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Perforant Path-Associated QuadD (-)3222	1.579589132	6.802682968	572.8391788	22.06506582	0.210997269
2046	CA1 O-LM (-)1002	CA1 Perforant Path-Associated QuadD (-)3222	1.696723634	6.650641686	579.3464007	20.54894412	0.207624055
2047	CA1 Perforant Path-Associated QuadD (-)3222	CA1 Perforant Path-Associated QuadD (-)3222	1.826917345	6.433581149	567.0968375	23.1980864	0.216354681
2048	CA1 Bistratified (-)0333	CA1 Perforant Path-Associated QuadD (-)3222	1.448213365	9.446063715	696.9606051	15.72424339	0.241321871
2049	CA1 Ivy (-)0333	CA1 Perforant Path-Associated QuadD (-)3222	1.470548567	8.343412184	645.8041715	18.45166076	0.227160771
2050	CA1 Oriens-Bistratified (-)0103	CA1 Perforant Path-Associated QuadD (-)3222	1.549568446	6.988661866	574.0477825	22.85690062	0.216487391
2051	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	CA1 Perforant Path-Associated QuadD (-)3222	1.618458616	6.687853433	576.9234787	22.57150769	0.209081715
2052	CA1 O-LMR (-)1102	CA1 Perforant Path-Associated QuadD (-)3222	1.662589793	6.561782495	576.7396548	21.03152005	0.211174426
2053	CA1 Recurrent O-LM (-)1003	CA1 Perforant Path-Associated QuadD (-)3222	1.674254983	6.750168176	579.4154336	20.66040659	0.211266565
2054	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Perforant Path-Associated QuadD (-)3222	1.31694772	6.726603494	590.4523649	23.41371167	0.182781101
2055	CA1 Interneuron Specific LM-R (-)2100	CA1 Perforant Path-Associated QuadD (-)3222	1.657615517	6.530061299	566.2717864	23.79208142	0.210610399
2056	CA1 Interneuron Specific LMO-O (-)2003	CA1 Perforant Path-Associated QuadD (-)3222	1.581733854	6.685952209	559.6801506	24.6679315	0.219620808
2057	CA1 Interneuron Specific O-R (-)0102	CA1 Perforant Path-Associated QuadD (-)3222	1.670410199	6.621272175	567.5292825	21.69141288	0.209593618
2058	CA1 Interneuron Specific LMR-R (-)2300	CA1 Perforant Path-Associated QuadD (-)3222	1.646402125	6.515770501	567.8880789	24.43014569	0.208775769
2059	CA1 Interneuron Specific R-O (-)0221	CA1 Perforant Path-Associated QuadD (-)3222	1.52232306	6.725785416	553.8530319	23.47871552	0.221314037
2060	CA1 Interneuron Specific RO-O (-)0203	CA1 Perforant Path-Associated QuadD (-)3222	1.580179854	6.669345438	555.0909483	23.95796484	0.220124249
2061	SUB CA1-Projecting Pyramidal (+)331p	CA1 Bistratified (-)0333	2.759555397	3.53362544	359.4404307	30.86585547	0.277819403
2062	CA3 Pyramidal (+)23223p	CA1 Bistratified (-)0333	1.150542157	6.184627383	369.3806703	27.56437073	0.213215335
2063	CA3c Pyramidal (+)03223p	CA1 Bistratified (-)0333	1.909631586	4.962423627	312.2564879	26.92879444	0.245680132
2064	CA2 Pyramidal (+)2333p	CA1 Bistratified (-)0333	1.885390487	4.119105361	282.6695063	53.30909202	0.260381965
2065	CA1 Pyramidal (+)2223p	CA1 Bistratified (-)0333	2.155417698	3.394198844	242.468234	45.77509046	0.225236757
2066	CA1 Radiatum Giant (+)2201	CA1 Bistratified (-)0333	1.437701141	4.959393482	403.3911778	35.62261494	0.185403942
2067	CA2 Wide-Arbor Basket (-)2232p	CA1 Bistratified (-)0333	1.824414624	7.782139095	535.1137861	16.96707517	0.252173255
2068	CA1 Horizontal Basket (-)0012	CA1 Bistratified (-)0333	1.327646437	12.75999243	807.8891458	20.69391691	0.248745664
2069	CA1 Basket (-)2232	CA1 Bistratified (-)0333	2.88716469	5.061443542	584.4912283	21.4215323	0.270965957
2070	CA1 Basket CCK+ (-)2232	CA1 Bistratified (-)0333	1.464067105	8.205527136	628.2474546	49.03171673	0.229198624
2071	CA3 Trilaminar (-)01113p	CA1 Bistratified (-)0333	1.552402512	7.228330309	540.4163175	21.53277471	0.22660251
2072	CA2 Bistratified (-)0313p	CA1 Bistratified (-)0333	2.10389775	6.262957476	556.3963394	17.16849069	0.246854621
2073	CA1 Bistratified (-)0333	CA1 Bistratified (-)0333	1.461626916	10.17310097	709.9692541	14.32265778	0.265016793
2074	CA1 Oriens/Alveus (-)2233	CA1 Bistratified (-)0333	1.630466442	6.707186999	544.9275218	16.5363606	0.238166825
2075	CA1 LMR Projecting (-)3300p	CA1 Bistratified (-)0333	1.63481726	7.149774337	547.2561318	22.59189602	0.216679702
2076	CA1 R-Receiving Apical-Targeting (-)1300	CA1 Bistratified (-)0333	1.568555631	7.197886946	553.6860687	21.70966028	0.224381963
2077	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	CA1 Bistratified (-)0333	1.58765108	7.186921282	557.4877486	20.58629516	0.233183361
2078	CA1 O-LMR (-)1102	CA1 Bistratified (-)0333	1.612199782	7.115155613	567.0818925	18.86937105	0.234941305
2079	CA1 LMR (-)3300	CA1 Bistratified (-)0333	1.725328467	7.195832729	542.5920183	18.31240265	0.234228451
2080	CA1 Radiatum (-)0300	CA1 Bistratified (-)0333	0.923508826	9.0866752	708.5681427	17.13069629	0.237153467
2081	CA1 Quadrilaminar (-)3333	CA1 Bistratified (-)0333	1.688542462	6.823333591	507.3649426	20.21486016	0.250096093
2082	CA1 Radial Trilaminar (-)2333	CA1 Bistratified (-)0333	1.473945044	6.878240829	611.3496745	22.14255852	0.222553655
2083	CA1 Schaffer Collateral-Associated (-)2311	CA1 Bistratified (-)0333	1.348641905	6.965913214	624.5086826	22.93508112	0.190796465
2084	CA1 Back-Projection (-)1133p	CA1 Bistratified (-)0333	1.662366419	7.522471979	574.9027841	20.91588617	0.233385022
2085	CA1 Trilaminar (-)0113p	CA1 Bistratified (-)0333	1.511517472	7.608261642	608.621003	18.06562155	0.23300282
2086	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Bistratified (-)0333	1.588337768	7.156605127	563.8377956	20.82987475	0.235600538
2087	CA1 Ivy (-)0333	CA1 Bistratified (-)0333	1.506680891	9.042053959	640.9715027	16.85933504	0.255722736
2088	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Bistratified (-)0333	1.557108349	7.318666122	562.0055374	19.90786759	0.235357767
2089	CA1 Oriens-Bistratified (-)0103	CA1 Bistratified (-)0333	1.529929989	7.426020791	564.2742736	20.00843666	0.241442932
2090	CA1 Recurrent O-LM (-)1003	CA1 Bistratified (-)0333	1.648597532	7.223651128	572.4540861	18.18835745	0.237343199
2091	CA1 SO-SO (-)0003	CA1 Bistratified (-)0333	1.627525193	7.408727287	546.663046	20.39304694	0.234577045
2092	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Bistratified (-)0333	1.285929489	7.204180021	584.7493502	21.89488647	0.200324528
2093	CA1 Interneuron Specific LMO-O (-)2003	CA1 Bistratified (-)0333	1.560100124	7.155195232	538.065099	22.41339255	0.24634454
2094	CA1 Interneuron Specific R-O (-)0221	CA1 Bistratified (-)0333	1.513567346	7.213161647	533.5502431	20.95134165	0.247653881
2095	CA1 Interneuron Specific RO-O (-)0203	CA1 Bistratified (-)0333	1.563980238	7.107191467	535.3973611	21.62361684	0.245793216
2096	CA1 Interneuron Specific LM-R (-)2100	CA1 Bistratified (-)0333	1.623531501	6.958228891	548.6364099	21.39067842	0.232593149
2097	CA1 Interneuron Specific O-R (-)0102	CA1 Bistratified (-)0333	1.628191544	7.107035641	549.2812756	19.63989821	0.234125345
2098	CA1 Interneuron Specific LMR-R (-)2300	CA1 Bistratified (-)0333	1.602522091	6.942903413	549.0196749	22.09663385	0.230391444
2099	CA3 Pyramidal (+)23223p	CA1 Ivy (-)0333	1.139035363	6.514490352	419.0888672	22.00501845	0.211997085
2100	CA3c Pyramidal (+)03223p	CA1 Ivy (-)0333	1.882628424	5.312171281	338.0002734	21.03694322	0.241759271
2101	CA2 Pyramidal (+)2333p	CA1 Ivy (-)0333	1.901052054	4.351762451	295.5199463	49.4307228	0.255881407
2102	CA1 Pyramidal (+)2223p	CA1 Ivy (-)0333	2.125086979	3.90415446	294.5593265	29.98390368	0.223851273
2103	CA1 Radiatum Giant (+)2201	CA1 Ivy (-)0333	1.470031861	5.176208784	454.8719955	28.78643682	0.186958209
2104	SUB CA1-Projecting Pyramidal (+)331p	CA1 Ivy (-)0333	2.928710041	3.869086722	371.9522577	24.18501214	0.250661291
2105	CA2 Wide-Arbor Basket (-)2232p	CA1 Ivy (-)0333	1.991887341	8.141573415	554.2231319	13.28096142	0.255556291
2106	CA1 Horizontal Basket (-)0012	CA1 Ivy (-)0333	1.433892473	12.88798713	904.4748405	16.36724103	0.249846128
2107	CA1 Basket (-)2232	CA1 Ivy (-)0333	3.391835068	5.025261209	598.4298782	17.30237842	0.27646958
2108	CA1 Basket CCK+ (-)2232	CA1 Ivy (-)0333	1.58994451	8.3616028	653.4158889	39.16684388	0.231460691
2109	CA3 Trilaminar (-)01113p	CA1 Ivy (-)0333	1.65936598	7.490392249	566.1683168	16.20698895	0.228583827
2110	CA2 Bistratified (-)0313p	CA1 Ivy (-)0333	2.307045031	6.518732919	578.1108352	13.0690706	0.250188919
2111	CA1 Quadrilaminar (-)3333	CA1 Ivy (-)0333	1.819671402	7.123406632	524.4299325	16.29905814	0.244701798
2112	CA1 LMR Projecting (-)3300p	CA1 Ivy (-)0333	1.769226536	7.342617158	575.611142	17.45436204	0.223715351
2113	CA1 LMR (-)3300	CA1 Ivy (-)0333	1.850303477	7.48746729	572.2097896	14.17217862	0.237307817
2114	CA1 Radial Trilaminar (-)2333	CA1 Ivy (-)0333	1.61078076	7.198563877	620.3009247	17.7161065	0.227538727
2115	CA1 Schaffer Collateral-Associated (-)2311	CA1 Ivy (-)0333	1.409863249	7.324303795	633.9436216	18.85246374	0.1927352
2116	CA1 Back-Projection (-)1133p	CA1 Ivy (-)0333	1.775794482	7.779084402	614.7477525	16.13313743	0.23507233
2117	CA1 Radiatum (-)0300	CA1 Ivy (-)0333	0.973938785	9.377043373	757.7967636	14.01551786	0.240428362
2118	CA1 SO-SO (-)0003	CA1 Ivy (-)0333	1.753061722	7.679379419	571.1040754	15.58092283	0.239233156
2119	CA1 Trilaminar (-)0113p	CA1 Ivy (-)0333	1.615864013	7.903055689	646.0803401	13.73542958	0.235362781
2120	CA1 Hippocampo-Subicular Projecting ENK+ (-)0313p	CA1 Ivy (-)0333	1.707447775	7.421561209	598.4527472	15.9073192	0.239600568
2121	CA1 Oriens/Alveus (-)2233	CA1 Ivy (-)0333	1.752092993	6.843221565	580.3781209	12.91528869	0.241467006
2122	CA1 R-Receiving Apical-Targeting (-)1300	CA1 Ivy (-)0333	1.723825358	7.393396612	584.8071418	16.45192905	0.232120491
2123	CA1 Oriens-Bistratified Projecting (-)1113p	CA1 Ivy (-)0333	1.652485112	7.579128139	595.6205937	15.24774085	0.238396002
2124	CA1 Bistratified (-)0333	CA1 Ivy (-)0333	1.594908861	10.62000192	760.0916001	11.55699251	0.271264353
2125	CA1 Ivy (-)0333	CA1 Ivy (-)0333	1.624924882	9.404598492	688.7459606	13.38354637	0.258486588
2126	CA1 Oriens-Bistratified (-)0103	CA1 Ivy (-)0333	1.654268949	7.737168827	594.8438079	15.21685911	0.246099813
2127	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	CA1 Ivy (-)0333	1.721182711	7.403112889	585.6669634	15.6993158	0.2378642
2128	CA1 O-LMR (-)1102	CA1 Ivy (-)0333	1.721675474	7.334872553	598.0327084	14.47300664	0.23883395
2129	CA1 Recurrent O-LM (-)1003	CA1 Ivy (-)0333	1.747866403	7.50667766	599.9082375	14.27075916	0.23987838
2130	CA1 Interneuron Specific O-Targeting QuadD (-)2223	CA1 Ivy (-)0333	1.414618228	7.384111344	614.845546	17.23001824	0.206426191
2131	CA1 Interneuron Specific LM-R (-)2100	CA1 Ivy (-)0333	1.794187026	7.152121551	575.7824247	16.45565816	0.238686791
2132	CA1 Interneuron Specific LMO-O (-)2003	CA1 Ivy (-)0333	1.729564073	7.355592749	566.4165368	17.27032068	0.249896948
2133	CA1 Interneuron Specific O-R (-)0102	CA1 Ivy (-)0333	1.774257578	7.301505774	573.832368	14.92986305	0.23812628
2134	CA1 Interneuron Specific LMR-R (-)2300	CA1 Ivy (-)0333	1.766522567	7.150670262	578.2669113	17.02054905	0.23634275
2135	CA1 Interneuron Specific R-O (-)0221	CA1 Ivy (-)0333	1.641366485	7.406143462	562.2323433	16.07138696	0.250188076
2136	CA1 Interneuron Specific RO-O (-)0203	CA1 Ivy (-)0333	1.715122558	7.335651409	564.8099447	16.65024839	0.248968245
2137	SUB CA1-Projecting Pyramidal (+)331p	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	2.250469871	4.081748338	366.6851209	39.36578412	0.239743613
2138	CA2 Pyramidal (+)2333p	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	1.753108666	4.11613554	287.6738052	65.88537258	0.239586303
2139	CA3 Pyramidal (+)23223p	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	0.969257838	6.475027577	400.6453019	29.81880541	0.190778911
2140	CA3c Pyramidal (+)03223p	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	1.602330323	5.152921988	335.0825442	32.09881462	0.217097055
2141	CA1 Pyramidal (+)2223p	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	1.466823809	4.246624331	298.6021099	71.15136351	0.176432619
2142	CA1 Radiatum Giant (+)2201	CA1 Schaffer Collateral-Receiving R-Targeting (-)0322	1.238714809	5.177685327	422.4324011	39.8900688	0.165490634
